42.50779	1.52109	AD:07:Andorra la Vella	安道尔城
42.50729	1.53414	AD:08:les Escaldes	エスカルデス＝エンゴルダニ教区
24.35893	54.48267	AE:01:Abu Dhabi	阿布扎比
24.45118	54.39696	AE:01:Abu Dhabi	阿布扎比
24.19167	55.76056	AE:01:Al Ain City	艾因
24.39268	54.70779	AE:01:Al Shamkhah City	Al Shamkhah City
24.11028	52.73056	AE:01:Ar Ruways	鲁瓦斯
24.30978	54.62944	AE:01:Bani Yas City	Bani Yas City
24.42588	54.60500	AE:01:Khalifah A City	Khalifah A City
24.34794	54.55368	AE:01:Mohammed Bin Zayed City	Mohammed Bin Zayed City
23.65416	53.70522	AE:01:Zayed City	Zayed City
25.07725	55.30927	AE:03:Dubai	迪拜
25.11985	55.38718	AE:03:Dubai	迪拜
25.15491	55.21015	AE:03:Dubai	迪拜
25.16383	55.40987	AE:03:Dubai	迪拜
25.16744	55.40708	AE:03:Dubai	迪拜
25.17047	55.23336	AE:03:Dubai	迪拜
25.18544	55.26969	AE:03:Dubai	迪拜
25.19881	55.25565	AE:03:Dubai	迪拜
25.20795	55.24969	AE:03:Dubai	迪拜
25.21060	55.27787	AE:03:Dubai	迪拜
25.22192	55.27459	AE:03:Dubai	迪拜
25.00827	55.15682	AE:03:Dubai Investments Park	Dubai Investments Park
25.02651	55.14565	AE:03:Dubai Investments Park	Dubai Investments Park
25.08525	55.14646	AE:03:Dubai Marina	Dubai Marina
25.09538	55.16171	AE:03:Dubai Marina	Dubai Marina
25.11607	55.13506	AE:03:Dubai Marina	Dubai Marina
25.00255	55.10811	AE:03:Jebel Ali	Jebel Ali
25.03763	55.59135	AE:03:Lahbab	Lahbab
24.80073	56.12726	AE:03:Ḩattā	Ḩattā
25.59246	56.26176	AE:04:Dibba Al-Fujairah	Dibba Al-Fujairah
25.61955	56.27291	AE:04:Dibba Al-Hisn	Dibba Al-Hisn
25.11641	56.34141	AE:04:Fujairah	富吉拉
25.14479	56.24764	AE:04:Reef Al Fujairah City	Reef Al Fujairah City
25.06950	56.33115	AE:04:Ţarīf Kalbā	Ţarīf Kalbā
25.78953	55.94320	AE:05:Ras Al Khaimah	Ras Al Khaimah
25.28812	55.88157	AE:06:Adh Dhayd	达伊德
25.31532	55.63211	AE:06:Al Sajaah	Al Sajaah
25.05130	56.35422	AE:06:Kalbā	Kalbā
25.33132	56.34199	AE:06:Khawr Fakkān	Khawr Fakkān
25.19272	55.42013	AE:06:Sharjah	夏尔迦
25.22177	55.35733	AE:06:Sharjah	夏尔迦
25.22443	55.41412	AE:06:Sharjah	夏尔迦
25.22462	55.26888	AE:06:Sharjah	夏尔迦
25.22499	55.38947	AE:06:Sharjah	夏尔迦
25.24004	55.30106	AE:06:Sharjah	夏尔迦
25.24612	55.29222	AE:06:Sharjah	夏尔迦
25.24805	55.44128	AE:06:Sharjah	夏尔迦
25.26038	55.29891	AE:06:Sharjah	夏尔迦
25.27139	55.30323	AE:06:Sharjah	夏尔迦
25.27143	55.30207	AE:06:Sharjah	夏尔迦
25.27375	55.32265	AE:06:Sharjah	夏尔迦
25.27576	55.30738	AE:06:Sharjah	夏尔迦
25.27744	55.33675	AE:06:Sharjah	夏尔迦
25.27925	55.36995	AE:06:Sharjah	夏尔迦
25.28413	55.33153	AE:06:Sharjah	夏尔迦
25.29173	55.33822	AE:06:Sharjah	夏尔迦
25.32354	55.38774	AE:06:Sharjah	夏尔迦
25.33420	55.41221	AE:06:Sharjah	夏尔迦
25.34586	55.42165	AE:06:Sharjah	夏尔迦
25.40001	55.52925	AE:06:Sharjah	夏尔迦
25.40177	55.47878	AE:06:Sharjah	夏尔迦
25.40338	55.43340	AE:06:Sharjah	夏尔迦
25.41814	55.50791	AE:06:Sharjah	夏尔迦
25.56473	55.55517	AE:07:Umm Al Quwain City	Umm Al Quwain City
37.00254	70.90664	AF:01:Bahārak	Bahārak
37.11664	70.58002	AF:01:Fayzabad	Fayzabad
36.86477	70.83421	AF:01:Jurm	Jurm
35.73062	63.78264	AF:02:Ghormach	Ghormach
36.13068	68.70829	AF:03:Baghlān	Baghlān
36.06490	69.13343	AF:03:Nahrīn	Nahrīn
35.94458	68.71512	AF:03:Pul-e Khumrī	Pul-e Khumrī
34.82156	67.82734	AF:05:Bāmyān	Bāmyān
34.73525	66.97379	AF:05:Bāzār-e Yakāwlang	Bāzār-e Yakāwlang
32.37451	62.11638	AF:06:Farah	法拉
36.95293	65.12376	AF:07:Andkhoy	Andkhoy
35.92139	64.78361	AF:07:Maymana	迈马纳
33.55391	68.42096	AF:08:Ghazni	Ghazni
34.10737	64.30520	AF:09:Shahrak	Shahrak
31.82089	64.57005	AF:10:Gereshk	Gereshk
30.54880	63.78880	AF:10:Khān Neshīn	Khān Neshīn
31.59382	64.37161	AF:10:Lashkar Gāh	Lashkar Gāh
34.66667	61.06667	AF:11:Eslam Qaleh	Eslam Qaleh
34.34817	62.19967	AF:11:Herāt	赫拉特
34.48108	62.58630	AF:11:Karukh	Karukh
33.29565	61.95221	AF:11:Kushk	Kushk
33.30294	62.14740	AF:11:Shīnḏanḏ	Shīnḏanḏ
34.83268	69.07756	AF:13:Istālif	Istālif
34.52813	69.17233	AF:13:Kabul	喀布尔
34.58787	68.95091	AF:13:Paghmān	Paghmān
33.96744	68.94920	AF:17:Baraki Barak	Baraki Barak
34.42647	70.45153	AF:18:Jalālābād	Jalālābād
34.12583	70.70778	AF:18:Markaz-e Woluswalī-ye Āchīn	Markaz-e Woluswalī-ye Āchīn
31.52919	62.79055	AF:19:Khāsh	Khāsh
30.95962	61.86037	AF:19:Zaranj	扎兰季
31.61332	65.71013	AF:23:Kandahār	坎大哈
36.68304	69.11279	AF:24:Khanabad	Khanabad
36.72895	68.85700	AF:24:Kunduz	昆都士
37.21959	68.78020	AF:24:Qarāwul	Qarāwul
37.12604	69.83045	AF:26:Rustāq	Rustāq
36.73605	69.53451	AF:26:Taloqan	塔卢坎
37.08571	69.47958	AF:26:Ārt Khwājah	Ārt Khwājah
36.75635	66.89720	AF:30:Balkh	巴尔赫
36.69736	67.69826	AF:30:Khulm	Khulm
36.70904	67.11087	AF:30:Mazār-e Sharīf	Mazār-e Sharīf
37.41853	66.04358	AF:31:Qarqīn	Qarqīn
36.66757	65.75290	AF:31:Shibirghān	Shibirghān
36.26468	68.01551	AF:32:Aībak	Aībak
35.84972	66.43694	AF:33:Sang-e Chārak	Sang-e Chārak
36.21544	65.93249	AF:33:Sar-e Pul	Sar-e Pul
34.87311	71.14697	AF:34:Asadābād	Asadābād
35.03333	71.35809	AF:34:Āsmār	Āsmār
34.67139	70.20944	AF:35:Mehtar Lām	Mehtar Lām
33.59744	69.22592	AF:36:Gardez	Gardez
33.33951	69.92041	AF:37:Khōst	Khōst
35.01361	69.17139	AF:40:Charikar	恰里卡尔
35.11833	69.23778	AF:40:Charikar	恰里卡尔
33.72178	66.13023	AF:41:Nīlī	Nīlī
35.31292	69.51519	AF:42:Bāzārak	Bāzārak
17.12096	-61.84329	AG:04:Saint John’s	圣约翰
18.21704	-63.05783	AI:11205396:The Valley	瓦利
40.70583	19.95222	AL:40:Berat	培拉特
40.80028	19.91667	AL:40:Kuçovë	Kuçovë
41.49167	20.22194	AL:41:Bulqizë	布尔奇察
41.32278	19.51028	AL:42:Durrës	都拉斯
41.32355	19.45469	AL:42:Durrës	都拉斯
41.47833	19.71778	AL:42:Fushë-Krujë	Fushë-Krujë
41.50917	19.79278	AL:42:Krujë	Krujë
41.11138	20.08224	AL:43:Elbasan	Elbasan
41.17944	20.31500	AL:43:Librazhd	利布拉什德
40.72510	19.55823	AL:44:Fier	非夏尔
40.68333	19.61944	AL:44:Fier-Çifçi	Fier-Çifçi
40.71667	19.56667	AL:44:Fier-Çifçi	Fier-Çifçi
40.94194	19.70500	AL:44:Lushnjë	卢什涅
41.04611	19.75111	AL:44:Lushnjë	卢什涅
40.64278	19.65083	AL:44:Patos Fshat	Patos Fshat
40.07583	20.13889	AL:45:Gjirokastër	吉诺卡斯特
40.61861	20.78083	AL:46:Korçë	科尔察
40.90250	20.65250	AL:46:Pogradec	波格拉德茨
42.07694	20.42194	AL:47:Kukës	Kukës
41.78361	19.64361	AL:48:Lezhë	莱什
42.06828	19.51258	AL:49:Shkodër	Shkodër
41.18556	19.55694	AL:50:Kavajë	卡瓦亚
41.32744	19.81866	AL:50:Tirana	地拉那
39.87534	20.00477	AL:51:Sarandë	萨兰达
40.46960	19.48379	AL:51:Vlorë	发罗拉
39.85494	44.69470	AM:02:Ararat	亚拉腊
39.95484	44.54874	AM:02:Artashat	阿尔塔沙特
40.15553	44.03880	AM:03:Armavir	阿尔马维尔
40.16557	44.29462	AM:03:Vagharshapat	瓦加尔沙帕特
40.35398	45.12386	AM:04:Gavar	Gavar
40.54800	44.95314	AM:04:Sevan	塞凡
40.40289	44.64447	AM:05:Charentsavan	Charentsavan
40.51690	44.75591	AM:05:Hrazdan	赫拉兹丹
40.80740	44.49704	AM:06:Vanadzor	瓦纳佐尔
40.61918	43.97207	AM:07:Artik	Artik
40.79305	43.84635	AM:07:Gyumri	久姆里
39.51111	46.34168	AM:08:Goris	Goris
39.20762	46.40678	AM:08:Kapan	卡潘
40.74037	44.86344	AM:09:Dilijan	迪利然
40.88037	45.14776	AM:09:Ijevan	伊杰万
40.06595	44.43669	AM:11:Yerevan	叶里温
40.13309	44.53009	AM:11:Yerevan	叶里温
40.15570	44.47790	AM:11:Yerevan	叶里温
40.17396	44.44570	AM:11:Yerevan	叶里温
40.17765	44.51260	AM:11:Yerevan	叶里温
40.17806	44.51303	AM:11:Yerevan	叶里温
40.19661	44.56690	AM:11:Yerevan	叶里温
40.19917	44.47056	AM:11:Yerevan	叶里温
40.20624	44.50365	AM:11:Yerevan	叶里温
40.21436	44.57846	AM:11:Yerevan	叶里温
40.21642	44.48088	AM:11:Yerevan	叶里温
40.22000	44.53833	AM:11:Yerevan	叶里温
40.27170	44.63342	AM:11:Yerevan	叶里温
40.29760	44.36152	AM:11:Yerevan	叶里温
-12.35426	14.77232	AO:01:Balombo	Balombo
-12.60417	13.19667	AO:01:Baía Farta	Baía Farta
-12.57674	13.40268	AO:01:Benguela	本吉拉
-12.47017	14.13688	AO:01:Bocoio	Bocoio
-11.95000	14.46667	AO:01:Chindumbo	Chindumbo
-13.03865	14.24550	AO:01:Cubal	Cubal
-12.31261	14.12650	AO:01:Cubal do Lumbo	Cubal do Lumbo
-12.95167	13.10250	AO:01:Dombe Grande	Dombe Grande
-13.01592	14.63502	AO:01:Ganda	Ganda
-12.43002	13.54677	AO:01:Lobito	洛比托
-12.36440	13.53601	AO:01:Lobito	洛比托
-12.58997	13.39123	AO:01:Navegantes	Navegantes
-11.48676	16.69663	AO:02:Andulo	Andulo
-12.01667	17.48333	AO:02:Camacupa	Camacupa
-12.15000	17.28333	AO:02:Catabola	Catabola
-13.55000	16.63333	AO:02:Chitembo	Chitembo
-12.15000	18.08333	AO:02:Cuemba	Cuemba
-12.38333	16.93333	AO:02:Cuíto	Cuíto
-11.47512	16.96496	AO:02:Nharêa	Nharêa
-4.65000	12.76667	AO:03:Belize	Belize
-4.76667	12.55000	AO:03:Buco Zau	Buco Zau
-5.56198	12.19476	AO:03:Cabinda	Cabinda
-8.18812	15.37495	AO:05:Camabatela	Camabatela
-8.73204	15.37124	AO:05:Cazombo	Cazombo
-9.68456	14.42788	AO:05:Dondo	Dondo
-9.05000	15.31667	AO:05:Dondo	Dondo
-9.13333	14.76667	AO:05:Golungo Alto	Golungo Alto
-9.27268	15.25206	AO:05:Lucala	Lucala
-9.29782	14.91162	AO:05:N'dalatando	N'dalatando
-8.38549	15.30126	AO:05:Nzagi	Nzagi
-10.00055	14.89519	AO:06:Calulo	Calulo
-11.13333	14.46667	AO:06:Capunda	Capunda
-11.42173	15.12345	AO:06:Cela	Cela
-11.10862	14.33621	AO:06:Conda	Conda
-10.85147	14.37993	AO:06:Gabela	Gabela
-10.51430	16.01990	AO:06:Mussende	Mussende
-10.73251	13.76844	AO:06:Porto Amboim	Porto Amboim
-10.73366	14.97995	AO:06:Quibala	Quibala
-11.39223	15.09201	AO:06:Quissecula	Quissecula
-10.19156	15.43408	AO:06:Santa Clara	Santa Clara
-11.20605	13.84371	AO:06:Sumbe	孙贝
-11.41237	14.30663	AO:06:Ucu Seles	Ucu Seles
-16.28556	14.30962	AO:07:Cahama	Cahama
-16.68640	14.90317	AO:07:Humbe	Humbe
-17.06667	15.73333	AO:07:Ondjiva	翁吉瓦
-16.74440	14.97494	AO:07:Xangongo	Xangongo
-12.23333	15.55000	AO:08:Alto Hama	Alto Hama
-12.56598	16.22589	AO:08:Catchiungo	Catchiungo
-12.55708	16.33805	AO:08:Catchiungo	Catchiungo
-12.85250	15.56056	AO:08:Caála	Caála
-12.67889	15.50556	AO:08:Ecunna	Ecunna
-12.77611	15.73917	AO:08:Huambo	万博
